Nationality,Name,Photo,Club,Wage,Overall
Poland,M. Matras,https://cdn.sofifa.org/players/4/19/209413.png,Zagłębie Lubin,€2K,64
France,H. Kamara,https://cdn.sofifa.org/players/4/19/220421.png,Stade de Reims,€4K,64
Cameroon,K. Soni,https://cdn.sofifa.org/players/4/19/228357.png,Girona FC,€4K,64
Saudi Arabia,F. Al Masrahi,https://cdn.sofifa.org/players/4/19/228613.png,Al Qadisiyah,€3K,64
Spain,Adrián Gómez,https://cdn.sofifa.org/players/4/19/230917.png,Albacete BP,€2K,64
Romania,A. Petre,https://cdn.sofifa.org/players/4/19/239365.png,Esbjerg fB,€2K,64
Norway,M. Bakenga,https://cdn.sofifa.org/players/4/19/190981.png,Tromsø IL,€1K,64
Norway,D. Berntsen,https://cdn.sofifa.org/players/4/19/206598.png,Tromsø IL,€1K,64
Japan,Y. Hiraoka,https://cdn.sofifa.org/players/4/19/232454.png,Vegalta Sendai,€1K,64
Denmark,K. Enghardt,https://cdn.sofifa.org/players/4/19/234502.png,Randers FC,€3K,64
England,T. Pope,https://cdn.sofifa.org/players/4/19/177414.png,Port Vale,€4K,64
Romania,A. Ivan,https://cdn.sofifa.org/players/4/19/244742.png,New York Red Bulls,€2K,64
Switzerland,O. Custodio,https://cdn.sofifa.org/players/4/19/218887.png,FC Luzern,€3K,64
Belgium,J. Teunckens,https://cdn.sofifa.org/players/4/19/229127.png,Royal Antwerp FC,€1K,64
Wales,D. Donohue,https://cdn.sofifa.org/players/4/19/229895.png,Portsmouth,€2K,64
Ghana,E. Oti Essigba,https://cdn.sofifa.org/players/4/19/235527.png,Esbjerg fB,€2K,64
Republic of Ireland,R. Kiernan,https://cdn.sofifa.org/players/4/19/190983.png,Southend United,€2K,64
England,J. Lumley,https://cdn.sofifa.org/players/4/19/217096.png,Queens Park Rangers,€2K,64
Colombia,M. Torres,https://cdn.sofifa.org/players/4/19/223752.png,Atlético Bucaramanga,€1K,64
France,D. Bertaud,https://cdn.sofifa.org/players/4/19/228616.png,Montpellier HSC,€3K,64
Japan,K. Oiwa,https://cdn.sofifa.org/players/4/19/232456.png,Vegalta Sendai,€1K,64
Colombia,J. Ramírez,https://cdn.sofifa.org/players/4/19/233736.png,Atlético Nacional,€1K,64
Spain,Pablo Fernández,https://cdn.sofifa.org/players/4/19/238344.png,Real Sporting de Gijón,€2K,64
Korea Republic,Cho Soo Hyuk,https://cdn.sofifa.org/players/4/19/187144.png,Ulsan Hyundai FC,€2K,64
Sweden,Z. Jovanovic,https://cdn.sofifa.org/players/4/19/192264.png,Trelleborgs FF,€1K,64
Sweden,D. Islamovic,https://cdn.sofifa.org/players/4/19/215817.png,Östersunds FK,€1K,64
Nigeria,E. Ekpolo,https://cdn.sofifa.org/players/4/19/224009.png,BK Häcken,€1K,64
New Zealand,D. Wynne,https://cdn.sofifa.org/players/4/19/226057.png,Colorado Rapids,€2K,64
England,S. Surridge,https://cdn.sofifa.org/players/4/19/234249.png,Oldham Athletic,€7K,64
Germany,E. Huth,https://cdn.sofifa.org/players/4/19/236553.png,1. FC Kaiserslautern,€1K,64
Argentina,E. Pereyra,https://cdn.sofifa.org/players/4/19/241929.png,San Lorenzo de Almagro,€2K,64
Scotland,R. Foster,https://cdn.sofifa.org/players/4/19/138251.png,St. Johnstone FC,€2K,64
St Lucia,J. Donacien,https://cdn.sofifa.org/players/4/19/209675.png,Ipswich Town,€1K,64
France,X. Tomas,https://cdn.sofifa.org/players/4/19/169483.png,Red Star FC,€2K,64
England,D. Batty,https://cdn.sofifa.org/players/4/19/236043.png,Hull City,€4K,64
Colombia,R. Steer,https://cdn.sofifa.org/players/4/19/225036.png,Once Caldas,€1K,64
Brazil,Mateus Couteira,https://cdn.sofifa.org/players/4/19/230412.png,Paraná,€4K,64
England,G. Diangana,https://cdn.sofifa.org/players/4/19/231436.png,West Ham United,€10K,64
Turkey,F. Aksoy,https://cdn.sofifa.org/players/4/19/240908.png,Beşiktaş JK,€6K,64
England,M. Tootle,https://cdn.sofifa.org/players/4/19/193804.png,Notts County,€4K,64
Germany,D. Wein,https://cdn.sofifa.org/players/4/19/212237.png,TSV 1860 München,€2K,64
Chile,M. Bravo,https://cdn.sofifa.org/players/4/19/214285.png,San Luis de Quillota,€1K,64
Germany,D. Stroh-Engel,https://cdn.sofifa.org/players/4/19/167437.png,Karlsruher SC,€2K,64
Jamaica,D. Orgill,https://cdn.sofifa.org/players/4/19/237581.png,Wolfsberger AC,€4K,64
Germany,N. Neidhart,https://cdn.sofifa.org/players/4/19/211982.png,VfL Sportfreunde Lotte,€1K,64
United States,J. Ockford,https://cdn.sofifa.org/players/4/19/221710.png,San Jose Earthquakes,€2K,64
Austria,B. Gschweidl,https://cdn.sofifa.org/players/4/19/224270.png,Wolfsberger AC,€3K,64
Ivory Coast,S. Yohou,https://cdn.sofifa.org/players/4/19/229646.png,Paris FC,€2K,64
Greece,E. Pantelakis,https://cdn.sofifa.org/players/4/19/239886.png,Panathinaikos FC,€1K,64
Brazil,Marcel,https://cdn.sofifa.org/players/4/19/238863.png,Portimonense SC,€2K,64
England,L. Leahy,https://cdn.sofifa.org/players/4/19/239119.png,Walsall,€2K,64
Germany,D. Vržogić,https://cdn.sofifa.org/players/4/19/177679.png,SV Meppen,€1K,64
France,S. Coulibaly,https://cdn.sofifa.org/players/4/19/244751.png,Dijon FCO,€3K,64
Colombia,A. Rodríguez,https://cdn.sofifa.org/players/4/19/226576.png,Independiente Santa Fe,€11K,64
Saudi Arabia,M. Khubrani,https://cdn.sofifa.org/players/4/19/228624.png,Al Qadisiyah,€4K,64
England,C. Dagnall,https://cdn.sofifa.org/players/4/19/163856.png,Bury,€4K,64
Brazil,Vasquão Junior,https://cdn.sofifa.org/players/4/19/230416.png,Atlético Paranaense,€3K,64
Sweden,F. Björkén,https://cdn.sofifa.org/players/4/19/241680.png,IF Brommapojkarna,€1K,64
Wales,J. Williams,https://cdn.sofifa.org/players/4/19/224017.png,Rochdale,€1K,64
Morocco,H. Al Ghaddioui,https://cdn.sofifa.org/players/4/19/239121.png,SSV Jahn Regensburg,€3K,64
England,S. Saunders,https://cdn.sofifa.org/players/4/19/181521.png,Wycombe Wanderers,€2K,64
England,A. Sarcevic,https://cdn.sofifa.org/players/4/19/200210.png,Plymouth Argyle,€3K,64
Poland,P. Zieliński,https://cdn.sofifa.org/players/4/19/221970.png,Miedź Legnica,€1K,64
Italy,F. Alastra,https://cdn.sofifa.org/players/4/19/230674.png,Palermo,€1K,64
England,O. Richards,https://cdn.sofifa.org/players/4/19/235026.png,Reading,€3K,64
Chile,Y. Andia,https://cdn.sofifa.org/players/4/19/242450.png,Unión La Calera,€1K,64
China PR,Wang Yun,https://cdn.sofifa.org/players/4/19/182802.png,Shanghai Greenland Shenhua FC,€3K,64
Mexico,M. Sansores,https://cdn.sofifa.org/players/4/19/197907.png,Monarcas Morelia,€3K,64
Colombia,J. Martínez,https://cdn.sofifa.org/players/4/19/214035.png,Envigado FC,€1K,64
Belgium,T. De Smet,https://cdn.sofifa.org/players/4/19/237331.png,KAA Gent,€3K,64
Netherlands,A. Obispo,https://cdn.sofifa.org/players/4/19/241171.png,PSV,€1K,64
Paraguay,J. Colman,https://cdn.sofifa.org/players/4/19/242451.png,Orlando City SC,€1K,64
Switzerland,A. Nef,https://cdn.sofifa.org/players/4/19/49939.png,FC Zürich,€2K,64
Scotland,S. Lawless,https://cdn.sofifa.org/players/4/19/200980.png,Livingston FC,€2K,64
Senegal,A. Seck,https://cdn.sofifa.org/players/4/19/217620.png,Royal Antwerp FC,€3K,64
United States,S. Saucedo,https://cdn.sofifa.org/players/4/19/226580.png,Real Salt Lake,€2K,64
Italy,R. Marchizza,https://cdn.sofifa.org/players/4/19/236308.png,Crotone,€6K,64
England,M. Adams,https://cdn.sofifa.org/players/4/19/242708.png,Chicago Fire,€1K,64
Mexico,C. Orrantía,https://cdn.sofifa.org/players/4/19/192020.png,Santos Laguna,€4K,64
Germany,B. Bellot,https://cdn.sofifa.org/players/4/19/222485.png,Brøndby IF,€4K,64
Italy,G. Zampano,https://cdn.sofifa.org/players/4/19/224789.png,Venezia FC,€1K,64
Wales,R. Poole,https://cdn.sofifa.org/players/4/19/225557.png,Manchester United,€13K,64
Colombia,Y. Díaz,https://cdn.sofifa.org/players/4/19/231701.png,Rionegro Águilas,€1K,64
Italy,T. Berni,https://cdn.sofifa.org/players/4/19/54037.png,Inter,€5K,64
England,F. Nouble,https://cdn.sofifa.org/players/4/19/193557.png,Colchester United,€4K,64
Austria,T. Gebauer,https://cdn.sofifa.org/players/4/19/156438.png,LASK Linz,€1K,64
Uruguay,F. Torgnascioli,https://cdn.sofifa.org/players/4/19/240662.png,CD Everton de Viña del Mar,€1K,64
Iran,A. Etemadi,https://cdn.sofifa.org/players/4/19/189718.png,De Graafschap,€2K,64
Republic of Ireland,C. Reilly,https://cdn.sofifa.org/players/4/19/207639.png,Gillingham,€2K,64
United States,B. Rowe,https://cdn.sofifa.org/players/4/19/210711.png,Vancouver Whitecaps FC,€2K,64
Germany,M. Vitzthum,https://cdn.sofifa.org/players/4/19/211991.png,SG Sonnenhof Großaspach,€1K,64
Turkey,O. Özdemir,https://cdn.sofifa.org/players/4/19/223767.png,1. FC Kaiserslautern,€1K,64
Spain,Alberto Varo,https://cdn.sofifa.org/players/4/19/229655.png,CD Lugo,€2K,64
Brazil,Claudio Mouria,https://cdn.sofifa.org/players/4/19/234007.png,Santos,€4K,64
Greece,P. Staikos,https://cdn.sofifa.org/players/4/19/237079.png,Panathinaikos FC,€1K,64
Italy,N. Fazzi,https://cdn.sofifa.org/players/4/19/222488.png,Livorno,€4K,64
Chile,R. Cepeda,https://cdn.sofifa.org/players/4/19/234520.png,Club Deportes Temuco,€1K,64
Mexico,E. Zaldívar,https://cdn.sofifa.org/players/4/19/237848.png,Club Atlas,€3K,64
China PR,Zhu Jianrong,https://cdn.sofifa.org/players/4/19/238104.png,Shanghai Greenland Shenhua FC,€4K,64
Netherlands,M. Chacón,https://cdn.sofifa.org/players/4/19/205593.png,FC Emmen,€2K,64
Colombia,S. Londoño,https://cdn.sofifa.org/players/4/19/214041.png,Envigado FC,€1K,64
Argentina,S. Luna,https://cdn.sofifa.org/players/4/19/214809.png,Belgrano de Córdoba,€3K,64
England,N. Mason,https://cdn.sofifa.org/players/4/19/229401.png,Doncaster Rovers,€2K,64
Denmark,S. Skytte,https://cdn.sofifa.org/players/4/19/234521.png,AC Horsens,€4K,64
Nigeria,K. Madu,https://cdn.sofifa.org/players/4/19/236313.png,SV Zulte-Waregem,€3K,64
Italy,G. Ruggiero,https://cdn.sofifa.org/players/4/19/238617.png,Palermo,€1K,64
Italy,M. Legittimo,https://cdn.sofifa.org/players/4/19/204058.png,Cosenza,€1K,64
Argentina,F. Assmann,https://cdn.sofifa.org/players/4/19/176922.png,Club Atlético Aldosivi,€2K,64
United States,C. Mueller,https://cdn.sofifa.org/players/4/19/242714.png,Orlando City SC,€1K,64
Spain,Willy,https://cdn.sofifa.org/players/4/19/243994.png,Extremadura UD,€2K,64
Germany,P. Owusu,https://cdn.sofifa.org/players/4/19/244250.png,DSC Arminia Bielefeld,€3K,64
France,L. Diaby Fadiga,https://cdn.sofifa.org/players/4/19/244762.png,OGC Nice,€4K,64
Germany,H. Hansen,https://cdn.sofifa.org/players/4/19/212251.png,FC Würzburger Kickers,€2K,64
Japan,R. Hayasaka,https://cdn.sofifa.org/players/4/19/232731.png,Hokkaido Consadole Sapporo,€1K,64
Ghana,E. Lomotey,https://cdn.sofifa.org/players/4/19/243995.png,Villarreal CF,€1K,64
Colombia,J. Marimón,https://cdn.sofifa.org/players/4/19/230684.png,Royal Excel Mouscron,€1K,64
China PR,Jiang Tao,https://cdn.sofifa.org/players/4/19/238108.png,Beijing Sinobo Guoan FC,€4K,64
Argentina,F. Bechtholdt,https://cdn.sofifa.org/players/4/19/239388.png,Curicó Unido,€1K,64
Austria,P. Salomon,https://cdn.sofifa.org/players/4/19/199197.png,SV Mattersburg,€5K,64
Japan,A. Fukuta,https://cdn.sofifa.org/players/4/19/232733.png,Sagan Tosu,€1K,64
United States,A. Carleton,https://cdn.sofifa.org/players/4/19/234525.png,Atlanta United,€1K,64
Spain,Martínez,https://cdn.sofifa.org/players/4/19/234781.png,Granada CF,€4K,64
Spain,Pablo Vázquez,https://cdn.sofifa.org/players/4/19/236573.png,Granada CF,€2K,64
Nigeria,K. Michael,https://cdn.sofifa.org/players/4/19/245277.png,Perugia,€3K,64
China PR,Rong Hao,https://cdn.sofifa.org/players/4/19/182045.png,Shanghai Greenland Shenhua FC,€4K,64
Poland,J. Szmatuła,https://cdn.sofifa.org/players/4/19/155422.png,Piast Gliwice,€1K,64
England,J. Ward,https://cdn.sofifa.org/players/4/19/228894.png,Peterborough United,€3K,64
Croatia,M. Perdijić,https://cdn.sofifa.org/players/4/19/185118.png,Zagłębie Sosnowiec,€1K,64
Scotland,Z. Gordon,https://cdn.sofifa.org/players/4/19/223263.png,Hamilton Academical FC,€2K,64
Senegal,J. Mendy,https://cdn.sofifa.org/players/4/19/227871.png,Dundee FC,€2K,64
Japan,T. Nishimura,https://cdn.sofifa.org/players/4/19/232479.png,PFC CSKA Moscow,€1K,64
Portugal,André Sousa,https://cdn.sofifa.org/players/4/19/240415.png,Vitória de Setúbal,€1K,64
United States,J. Amon,https://cdn.sofifa.org/players/4/19/241695.png,FC Nordsjælland,€2K,64
Turkey,A. Parmak,https://cdn.sofifa.org/players/4/19/245535.png,Trabzonspor,€6K,64
Sweden,C. Gustafsson,https://cdn.sofifa.org/players/4/19/188959.png,IK Sirius,€1K,64
England,J. Bowery,https://cdn.sofifa.org/players/4/19/190239.png,Crewe Alexandra,€5K,64
China PR,Zhao Honglue,https://cdn.sofifa.org/players/4/19/224544.png,Tianjin TEDA FC,€3K,64
Sweden,J. Arvidsson,https://cdn.sofifa.org/players/4/19/176928.png,IK Sirius,€1K,64
Albania,K. Abazaj,https://cdn.sofifa.org/players/4/19/243232.png,RSC Anderlecht,€4K,64
Brazil,Cidinho,https://cdn.sofifa.org/players/4/19/203297.png,AS Béziers,€1K,64
Brazil,Marcelo Freitas,https://cdn.sofifa.org/players/4/19/243745.png,FC Energie Cottbus,€1K,64
Germany,B. Jopek,https://cdn.sofifa.org/players/4/19/209954.png,Hallescher FC,€1K,64
Japan,A. Masuyama,https://cdn.sofifa.org/players/4/19/233506.png,Vissel Kobe,€2K,64
Austria,F. Flecker,https://cdn.sofifa.org/players/4/19/239394.png,TSV Hartberg,€2K,64
Germany,M. Zimmer,https://cdn.sofifa.org/players/4/19/243746.png,FC Energie Cottbus,€1K,64
Japan,K. Furuhashi,https://cdn.sofifa.org/players/4/19/245538.png,Vissel Kobe,€2K,64
France,M. Dembélé,https://cdn.sofifa.org/players/4/19/238627.png,AS Nancy Lorraine,€2K,64
Netherlands,L. Geertruida,https://cdn.sofifa.org/players/4/19/241187.png,Feyenoord,€1K,64
Spain,Julen López,https://cdn.sofifa.org/players/4/19/229412.png,SD Eibar,€4K,64
Greece,S. Svarnas,https://cdn.sofifa.org/players/4/19/245540.png,AEK Athens,€1K,64
England,K. Bryan,https://cdn.sofifa.org/players/4/19/220197.png,Sheffield United,€2K,64
Brazil,Joaninho Chagas,https://cdn.sofifa.org/players/4/19/234021.png,Sport Club do Recife,€4K,64
Austria,P. Schmidt,https://cdn.sofifa.org/players/4/19/235301.png,FC Admira Wacker Mödling,€2K,64
Uruguay,N. Schiappacasse,https://cdn.sofifa.org/players/4/19/236837.png,CF Rayo Majadahonda,€5K,64
England,L. Ainsworth,https://cdn.sofifa.org/players/4/19/173349.png,Plymouth Argyle,€3K,64
Norway,M. Ellingsen,https://cdn.sofifa.org/players/4/19/240677.png,Molde FK,€2K,64
Germany,S. Mamba,https://cdn.sofifa.org/players/4/19/243749.png,FC Energie Cottbus,€1K,64
United States,R. Marquez,https://cdn.sofifa.org/players/4/19/222246.png,Philadelphia Union,€2K,64
Turkey,I. Çipe,https://cdn.sofifa.org/players/4/19/230694.png,Galatasaray SK,€7K,64
Germany,T. Knöll,https://cdn.sofifa.org/players/4/19/241190.png,1. FC Nürnberg,€4K,64
Austria,P. Prosenik,https://cdn.sofifa.org/players/4/19/200487.png,SV Mattersburg,€5K,64
Australia,E. Galekovic,https://cdn.sofifa.org/players/4/19/160295.png,Melbourne City FC,€1K,64
Germany,L. Schnellbacher,https://cdn.sofifa.org/players/4/19/238631.png,VfR Aalen,€1K,64
Spain,Sergio López,https://cdn.sofifa.org/players/4/19/245287.png,Real Madrid,€9K,64
England,J. Bond,https://cdn.sofifa.org/players/4/19/197928.png,West Bromwich Albion,€5K,64
France,Q. Braat,https://cdn.sofifa.org/players/4/19/231720.png,FC Nantes,€3K,64
Argentina,C. Romero,https://cdn.sofifa.org/players/4/19/232488.png,Genoa,€2K,64
Brazil,Mairdel Sampaio,https://cdn.sofifa.org/players/4/19/234024.png,América FC (Minas Gerais),€4K,64
Netherlands,A. Absalem,https://cdn.sofifa.org/players/4/19/240680.png,FC Groningen,€2K,64
Korea Republic,Lee Yun Pyo,https://cdn.sofifa.org/players/4/19/187176.png,Incheon United FC,€1K,64
Nigeria,H. Akpan,https://cdn.sofifa.org/players/4/19/190504.png,Bradford City,€3K,64
France,J. Faucher,https://cdn.sofifa.org/players/4/19/202025.png,Red Star FC,€2K,64
Germany,P. Wiegers,https://cdn.sofifa.org/players/4/19/209193.png,SG Dynamo Dresden,€4K,64
Colombia,J. Cano,https://cdn.sofifa.org/players/4/19/221481.png,Jaguares de Córdoba,€1K,64
Mexico,J. Cortizo,https://cdn.sofifa.org/players/4/19/236841.png,Querétaro,€2K,64
Germany,P. Breitkreuz,https://cdn.sofifa.org/players/4/19/238633.png,FC Würzburger Kickers,€2K,64
Colombia,K. Rendón,https://cdn.sofifa.org/players/4/19/215338.png,Itagüí Leones FC,€1K,64
Czech Republic,M. Lüftner,https://cdn.sofifa.org/players/4/19/239402.png,FC København,€4K,64
Sweden,J. Mårtensson,https://cdn.sofifa.org/players/4/19/188970.png,Örebro SK,€2K,64
France,A. Bernede,https://cdn.sofifa.org/players/4/19/234795.png,Paris Saint-Germain,€6K,64
Japan,R. Iio,https://cdn.sofifa.org/players/4/19/242219.png,V-Varen Nagasaki,€1K,64
Mexico,A. Zamora,https://cdn.sofifa.org/players/4/19/192043.png,Puebla FC,€2K,64
Poland,S. Rudol,https://cdn.sofifa.org/players/4/19/209452.png,Pogoń Szczecin,€1K,64
Japan,S. Tanabe,https://cdn.sofifa.org/players/4/19/216620.png,FC Tokyo,€3K,64
England,J. Clarke,https://cdn.sofifa.org/players/4/19/219436.png,Brentford,€7K,64
Austria,D. Hofbauer,https://cdn.sofifa.org/players/4/19/190508.png,SKN St. Pölten,€4K,64
Poland,M. Cebula,https://cdn.sofifa.org/players/4/19/211245.png,Korona Kielce,€1K,64
Australia,K. Baccus,https://cdn.sofifa.org/players/4/19/212013.png,Melbourne City FC,€3K,64
Poland,K. Świderski,https://cdn.sofifa.org/players/4/19/224301.png,Jagiellonia Białystok,€2K,64
Spain,Romera,https://cdn.sofifa.org/players/4/19/245549.png,UD Almería,€2K,64
Bolivia,G. Álvarez,https://cdn.sofifa.org/players/4/19/196910.png,Al Hazem,€3K,64
Austria,M. Meilinger,https://cdn.sofifa.org/players/4/19/199470.png,SCR Altach,€3K,64
Poland,M. Wieteska,https://cdn.sofifa.org/players/4/19/224302.png,Legia Warszawa,€2K,64
Brazil,Allef,https://cdn.sofifa.org/players/4/19/239918.png,Vitória de Setúbal,€2K,64
Italy,L. Gonnelli,https://cdn.sofifa.org/players/4/19/225327.png,Livorno,€1K,64
France,Y. Demoncy,https://cdn.sofifa.org/players/4/19/234799.png,US Orléans Loiret Football,€1K,64
England,N. Knight-Percival,https://cdn.sofifa.org/players/4/19/208944.png,Bradford City,€3K,64
United States,R. Allen,https://cdn.sofifa.org/players/4/19/228656.png,Orlando City SC,€2K,64
Brazil,Bruno Silva,https://cdn.sofifa.org/players/4/19/239920.png,Moreirense FC,€1K,64
Croatia,D. Perić,https://cdn.sofifa.org/players/4/19/244272.png,Dinamo Zagreb,€1K,64
Chile,G. Martínez,https://cdn.sofifa.org/players/4/19/214321.png,San Luis de Quillota,€1K,64
Korea Republic,Cho Suk Jae,https://cdn.sofifa.org/players/4/19/226609.png,Daegu FC,€2K,64
Colombia,J. García,https://cdn.sofifa.org/players/4/19/227377.png,La Equidad,€1K,64
Chile,F. Hormazábal,https://cdn.sofifa.org/players/4/19/228145.png,CD O'Higgins,€2K,64
Poland,D. Perquis,https://cdn.sofifa.org/players/4/19/135218.png,GFC Ajaccio,€1K,64
Austria,S. Piesinger,https://cdn.sofifa.org/players/4/19/210482.png,SCR Altach,€3K,64
England,F. Woodman,https://cdn.sofifa.org/players/4/19/222514.png,Newcastle United,€5K,64
Cameroon,T. Amang,https://cdn.sofifa.org/players/4/19/232754.png,Molde FK,€2K,64
Australia,H. Delbridge,https://cdn.sofifa.org/players/4/19/241970.png,Melbourne City FC,€3K,64
Denmark,M. Pedersen,https://cdn.sofifa.org/players/4/19/188978.png,SønderjyskE,€3K,64
Scotland,C. Smith,https://cdn.sofifa.org/players/4/19/208691.png,St. Mirren,€2K,64
Denmark,C. Nielsen,https://cdn.sofifa.org/players/4/19/210739.png,Odense Boldklub,€3K,64
Burkina Faso,Z. Sanogo,https://cdn.sofifa.org/players/4/19/236339.png,TSV Hartberg,€2K,64
Germany,H. Weigelt,https://cdn.sofifa.org/players/4/19/238131.png,AZ Alkmaar,€2K,64
Korea Republic,Kim Soo Beom,https://cdn.sofifa.org/players/4/19/202292.png,Jeju United FC,€2K,64
England,A. Gilliead,https://cdn.sofifa.org/players/4/19/217140.png,Shrewsbury,€2K,64
Austria,J. Aigner,https://cdn.sofifa.org/players/4/19/152116.png,SCR Altach,€3K,64
Italy,P. Ceccaroni,https://cdn.sofifa.org/players/4/19/219956.png,Padova,€1K,64
Germany,O. Aydoğan,https://cdn.sofifa.org/players/4/19/224308.png,Beşiktaş JK,€7K,64
Korea Republic,Hong Jeong Un,https://cdn.sofifa.org/players/4/19/233012.png,Daegu FC,€1K,64
Finland,M. Soisalo,https://cdn.sofifa.org/players/4/19/237108.png,SV Zulte-Waregem,€3K,64
Italy,G. Loiacono,https://cdn.sofifa.org/players/4/19/239412.png,Foggia,€1K,64
Colombia,J. Aguirre,https://cdn.sofifa.org/players/4/19/242484.png,Itagüí Leones FC,€1K,64
Brazil,Tiago Marques,https://cdn.sofifa.org/players/4/19/242740.png,Jeju United FC,€2K,64
Poland,M. Pietrowski,https://cdn.sofifa.org/players/4/19/188724.png,Piast Gliwice,€2K,64
Denmark,J. Laursen,https://cdn.sofifa.org/players/4/19/219957.png,Odense Boldklub,€3K,64
Japan,A. Tanaka,https://cdn.sofifa.org/players/4/19/234293.png,Cerezo Osaka,€2K,64
Argentina,J. Goitia,https://cdn.sofifa.org/players/4/19/242485.png,San Martín de San Juan,€3K,64
Senegal,J. Thiaré,https://cdn.sofifa.org/players/4/19/212790.png,Le Havre AC,€2K,64
Belgium,A. Monsecour,https://cdn.sofifa.org/players/4/19/224822.png,Sporting Lokeren,€3K,64
Poland,D. Niepsuj,https://cdn.sofifa.org/players/4/19/229174.png,Pogoń Szczecin,€1K,64
Argentina,F. Henríquez,https://cdn.sofifa.org/players/4/19/231222.png,Godoy Cruz,€3K,64
Brazil,Lucas França,https://cdn.sofifa.org/players/4/19/235574.png,CD Nacional,€2K,64
Kosovo,F. Kastrati,https://cdn.sofifa.org/players/4/19/190518.png,Kristiansund BK,€1K,64
Germany,M. Janzer,https://cdn.sofifa.org/players/4/19/192566.png,Eintracht Braunschweig,€2K,64
Germany,B. Uaferro,https://cdn.sofifa.org/players/4/19/199479.png,SC Fortuna Köln,€1K,64
Denmark,M. Uhre,https://cdn.sofifa.org/players/4/19/213815.png,Brøndby IF,€6K,64
Norway,A. Stølås,https://cdn.sofifa.org/players/4/19/222519.png,FK Haugesund,€1K,64
Scotland,S. Mallan,https://cdn.sofifa.org/players/4/19/225847.png,Hibernian,€2K,64
Colombia,S. Roa,https://cdn.sofifa.org/players/4/19/237623.png,Patriotas Boyacá FC,€1K,64
Korea Republic,Cho Sung Hwan,https://cdn.sofifa.org/players/4/19/136504.png,Jeonbuk Hyundai Motors,€2K,64
Germany,M. Heinloth,https://cdn.sofifa.org/players/4/19/219448.png,Zagłębie Sosnowiec,€1K,64
United States,K. Fisher,https://cdn.sofifa.org/players/4/19/231992.png,Montreal Impact,€2K,64
Nigeria,A. Aremu,https://cdn.sofifa.org/players/4/19/242744.png,IK Start,€1K,64
Germany,A. Fein,https://cdn.sofifa.org/players/4/19/244280.png,SSV Jahn Regensburg,€6K,64
England,R. Bowman,https://cdn.sofifa.org/players/4/19/197945.png,Motherwell,€2K,64
Germany,N. Karger,https://cdn.sofifa.org/players/4/19/231737.png,TSV 1860 München,€2K,64
Romania,A. Cicâldău,https://cdn.sofifa.org/players/4/19/243001.png,NA,€0,64
France,D. Osei Yaw,https://cdn.sofifa.org/players/4/19/244025.png,Toulouse Football Club,€3K,64
Iran,M. Naderi,https://cdn.sofifa.org/players/4/19/244537.png,KV Kortrijk,€2K,64
Austria,K. Dobras,https://cdn.sofifa.org/players/4/19/210490.png,SCR Altach,€3K,64
France,I. Faraj,https://cdn.sofifa.org/players/4/19/240442.png,LOSC Lille,€3K,64
Scotland,C. Mallace,https://cdn.sofifa.org/players/4/19/207675.png,Los Angeles FC,€2K,64
United States,D. Serna,https://cdn.sofifa.org/players/4/19/213307.png,Colorado Rapids,€2K,64
Germany,C. Nöthe,https://cdn.sofifa.org/players/4/19/186939.png,DSC Arminia Bielefeld,€4K,64
Sweden,J. Allansson,https://cdn.sofifa.org/players/4/19/204348.png,Randers FC,€3K,64
Korea Republic,Han Kook Young,https://cdn.sofifa.org/players/4/19/211004.png,Gangwon FC,€2K,64
Argentina,N. Tripichio,https://cdn.sofifa.org/players/4/19/227900.png,Defensa y Justicia,€2K,64
England,A. Walkes,https://cdn.sofifa.org/players/4/19/232252.png,Portsmouth,€2K,64
England,A. Dozzell,https://cdn.sofifa.org/players/4/19/233276.png,Ipswich Town,€1K,64
Korea Republic,Kim Dong Suk,https://cdn.sofifa.org/players/4/19/180284.png,Incheon United FC,€2K,64
Japan,C. Masuda,https://cdn.sofifa.org/players/4/19/191548.png,Shimizu S-Pulse,€1K,64
Norway,G. Kongshavn,https://cdn.sofifa.org/players/4/19/192316.png,Tromsø IL,€1K,64
Australia,S. Neville,https://cdn.sofifa.org/players/4/19/192572.png,Perth Glory,€2K,64
Madagascar,R. Raveloson,https://cdn.sofifa.org/players/4/19/225853.png,ESTAC Troyes,€1K,64
Zimbabwe,T. Kadewere,https://cdn.sofifa.org/players/4/19/230717.png,Le Havre AC,€2K,64
France,T. Dieng,https://cdn.sofifa.org/players/4/19/206142.png,Southend United,€2K,64
Turkey,O. Atasayar,https://cdn.sofifa.org/players/4/19/237374.png,Bursaspor,€3K,64
England,C. Tilt,https://cdn.sofifa.org/players/4/19/240446.png,Blackpool,€2K,64
Spain,Álex Centelles,https://cdn.sofifa.org/players/4/19/241470.png,Valencia CF,€3K,64
England,R. Jackson,https://cdn.sofifa.org/players/4/19/204095.png,Colchester United,€3K,64
Mexico,V. Milke,https://cdn.sofifa.org/players/4/19/212543.png,Querétaro,€2K,64
Chile,C. Rojas,https://cdn.sofifa.org/players/4/19/213823.png,CD Antofagasta,€1K,64
Spain,Steven Prieto,https://cdn.sofifa.org/players/4/19/240959.png,Real Oviedo,€2K,64
Korea Republic,Ko Seul Ki,https://cdn.sofifa.org/players/4/19/187455.png,Incheon United FC,€1K,64
