Name,Photo,Overall,Potential,Value,Wage,Age,Height,Club,Nationality,League,Country,InternationalReputation
K. Zohore,https://cdn.sofifa.org/players/4/19/198641.png,72,77,4.2,30,24,6'4,Cardiff City,Denmark,Premier League,UK,1
K. Zouma,https://cdn.sofifa.org/players/4/19/204311.png,79,83,14,80,23,6'3,Everton,France,Premier League,UK,2
Kadu,https://cdn.sofifa.org/players/4/19/183245.png,71,71,1.6,14,31,6'2,Göztepe SK,Brazil,Süper Lig,Turkey,1
Kaio Pantaleão,https://cdn.sofifa.org/players/4/19/245259.png,68,73,1,2,22,6'0,Santa Clara,Brazil,Liga Nos,Portugal,1
Kaká,https://cdn.sofifa.org/players/4/19/243300.png,65,65,NA,3,27,5'9,CD Nacional,Brazil,Liga Nos,Portugal,1
Kalindi,https://cdn.sofifa.org/players/4/19/243662.png,70,74,1.9,5,24,5'7,CD Nacional,Brazil,Liga Nos,Portugal,1
Kangin Lee,https://cdn.sofifa.org/players/4/19/243780.png,70,88,3.5,8,17,5'8,Valencia CF,Korea Republic,La Liga,Spain,1
Keko,https://cdn.sofifa.org/players/4/19/194174.png,75,76,8,11,26,5'8,Real Valladolid CF,Spain,La Liga,Spain,2
Kenedy,https://cdn.sofifa.org/players/4/19/215639.png,76,84,11.5,71,22,6'0,Newcastle United,Brazil,Premier League,UK,1
Kepa,https://cdn.sofifa.org/players/4/19/206585.png,83,91,28.5,84,23,6'1,Chelsea,Spain,Premier League,UK,1
Kevin,https://cdn.sofifa.org/players/4/19/228716.png,68,73,NA,8,25,5'8,RC Celta,Spain,La Liga,Spain,1
Kévin Rodrigues,https://cdn.sofifa.org/players/4/19/209289.png,74,79,6.5,18,24,5'7,Real Sociedad,Portugal,La Liga,Spain,1
Ki Sung Yueng,https://cdn.sofifa.org/players/4/19/180283.png,76,76,7.5,46,29,6'2,Newcastle United,Korea Republic,Premier League,UK,2
Kikas,https://cdn.sofifa.org/players/4/19/245240.png,64,77,NA,1,19,5'10,Os Belenenses,Portugal,Liga Nos,Portugal,1
Kike,https://cdn.sofifa.org/players/4/19/240997.png,62,72,NA,1,18,6'3,Rayo Vallecano,Spain,La Liga,Spain,1
Kike García,https://cdn.sofifa.org/players/4/19/192678.png,79,79,13,32,28,6'1,SD Eibar,Spain,La Liga,Spain,1
Kike PIna,https://cdn.sofifa.org/players/4/19/245551.png,60,70,NA,2,21,5'5,SD Eibar,Spain,La Liga,Spain,1
Kike1,https://cdn.sofifa.org/players/4/19/236760.png,62,68,NA,1,21,6'0,Real Valladolid CF,Spain,La Liga,Spain,1
Kiko Casilla,https://cdn.sofifa.org/players/4/19/177644.png,79,79,7.5,105,31,6'3,Real Madrid,Spain,La Liga,Spain,2
Kiko Femenía,https://cdn.sofifa.org/players/4/19/189860.png,76,77,7,44,27,5'9,Watford,Spain,Premier League,UK,1
Kiko Olivas,https://cdn.sofifa.org/players/4/19/186684.png,72,72,2.4,14,29,6'2,Real Valladolid CF,Spain,La Liga,Spain,1
Koke,https://cdn.sofifa.org/players/4/19/193747.png,85,86,45,88,26,5'9,Atlético Madrid,Spain,La Liga,Spain,3
Koke Vegas,https://cdn.sofifa.org/players/4/19/236301.png,68,77,1,6,22,6'2,Levante UD,Spain,La Liga,Spain,1
Koo Ja Cheol,https://cdn.sofifa.org/players/4/19/182152.png,76,76,7.5,25,29,6'0,FC Augsburg,Korea Republic,Bundesliga,Germany,2
Kuki Zalazar,https://cdn.sofifa.org/players/4/19/225738.png,64,80,1,4,20,5'9,Real Valladolid CF,Spain,La Liga,Spain,1
Kwon Chang Hoon,https://cdn.sofifa.org/players/4/19/211927.png,75,79,8.5,13,24,5'9,Dijon FCO,Korea Republic,Ligue 1,France,1
L. Abdulahi,https://cdn.sofifa.org/players/4/19/244047.png,62,70,NA,1,22,5'10,De Graafschap,Netherlands,Eredivisie,Netherlands,1
L. Advíncula,https://cdn.sofifa.org/players/4/19/204539.png,74,74,4.4,41,28,5'10,Rayo Vallecano,Peru,La Liga,Spain,1
L. Agbenyenu,https://cdn.sofifa.org/players/4/19/237456.png,72,80,3.9,6,21,5'9,Sporting CP,Ghana,Liga Nos,Portugal,1
L. Ajorque,https://cdn.sofifa.org/players/4/19/219733.png,70,75,2.4,10,24,6'5,RC Strasbourg Alsace,France,Ligue 1,France,1
L. Alario,https://cdn.sofifa.org/players/4/19/215353.png,79,82,16,67,25,6'0,Bayer 04 Leverkusen,Argentina,Bundesliga,Germany,2
L. Amos,https://cdn.sofifa.org/players/4/19/232250.png,65,79,1.2,13,21,5'10,Tottenham Hotspur,England,Premier League,UK,1
L. Antonelli,https://cdn.sofifa.org/players/4/19/173204.png,76,76,5,14,31,6'0,Empoli,Italy,Serie A,Italy,2
L. Ariaudo,https://cdn.sofifa.org/players/4/19/189436.png,72,72,2.4,12,29,6'1,Frosinone,Italy,Serie A,Italy,1
L. Ashby-Hammond,https://cdn.sofifa.org/players/4/19/242382.png,56,76,NA,1,17,6'1,Fulham,England,Premier League,UK,1
L. Augustinsson,https://cdn.sofifa.org/players/4/19/212678.png,77,82,10,22,24,5'11,SV Werder Bremen,Sweden,Bundesliga,Germany,1
L. Baal,https://cdn.sofifa.org/players/4/19/177481.png,73,73,2.2,22,32,5'9,Stade Rennais FC,France,Ligue 1,France,2
L. Badiashile,https://cdn.sofifa.org/players/4/19/235582.png,66,74,NA,8,20,6'1,AS Monaco,France,Ligue 1,France,1
L. Bailey,https://cdn.sofifa.org/players/4/19/229906.png,81,89,26.5,54,20,5'10,Bayer 04 Leverkusen,Jamaica,Bundesliga,Germany,1
L. Baines,https://cdn.sofifa.org/players/4/19/163631.png,77,77,3.4,74,33,5'7,Everton,England,Premier League,UK,3
L. Balogun,https://cdn.sofifa.org/players/4/19/188182.png,75,75,4.9,38,30,6'3,Brighton & Hove Albion,Nigeria,Premier League,UK,1
L. Barreiro Martins,https://cdn.sofifa.org/players/4/19/245253.png,58,76,NA,2,18,5'9,1. FSV Mainz 05,Luxembourg,Bundesliga,Germany,1
L. Barrera,https://cdn.sofifa.org/players/4/19/214668.png,69,69,1.1,5,27,5'10,Clube Sport Marítimo,Argentina,Liga Nos,Portugal,1
L. Bender,https://cdn.sofifa.org/players/4/19/177457.png,83,83,20,82,29,6'1,Bayer 04 Leverkusen,Germany,Bundesliga,Germany,3
L. Bénes,https://cdn.sofifa.org/players/4/19/234728.png,69,82,2,9,20,5'11,Borussia Mönchengladbach,Slovakia,Bundesliga,Germany,1
L. Bergsma,https://cdn.sofifa.org/players/4/19/236399.png,66,75,NA,3,21,6'1,AZ Alkmaar,Netherlands,Eredivisie,Netherlands,1
L. Biglia,https://cdn.sofifa.org/players/4/19/158963.png,82,82,12.5,98,32,5'10,Milan,Argentina,Serie A,Italy,3
L. Bittante,https://cdn.sofifa.org/players/4/19/216139.png,69,70,1,6,24,6'0,Empoli,Italy,Serie A,Italy,1
L. Bittencourt,https://cdn.sofifa.org/players/4/19/203106.png,79,82,16,35,24,5'7,TSG 1899 Hoffenheim,Germany,Bundesliga,Germany,2
L. Blas,https://cdn.sofifa.org/players/4/19/231102.png,75,84,10.5,16,20,5'11,En Avant de Guingamp,France,Ligue 1,France,1
L. Bolton,https://cdn.sofifa.org/players/4/19/233051.png,61,79,NA,7,18,5'9,Manchester City,England,Premier League,UK,1
L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,86,86,30,160,31,6'3,Juventus,Italy,Serie A,Italy,3
L. Brand,https://cdn.sofifa.org/players/4/19/245580.png,56,68,NA,1,18,6'1,Willem II,Netherlands,Eredivisie,Netherlands,1
L. Bruins,https://cdn.sofifa.org/players/4/19/172475.png,71,71,2.1,5,31,5'11,Excelsior,Netherlands,Eredivisie,Netherlands,1
L. Burnet,https://cdn.sofifa.org/players/4/19/203845.png,65,65,NA,2,27,5'7,Excelsior,Netherlands,Eredivisie,Netherlands,1
L. Butelle,https://cdn.sofifa.org/players/4/19/49472.png,75,75,1.6,11,35,6'2,Angers SCO,France,Ligue 1,France,2
L. Cabrera,https://cdn.sofifa.org/players/4/19/192816.png,72,75,3.2,15,26,6'2,Getafe CF,Uruguay,La Liga,Spain,1
L. Caldirola,https://cdn.sofifa.org/players/4/19/199776.png,72,72,2.6,17,27,6'2,SV Werder Bremen,Italy,Bundesliga,Germany,2
L. Capezzi,https://cdn.sofifa.org/players/4/19/210548.png,71,79,3.4,18,23,5'10,Empoli,Italy,Serie A,Italy,1
L. Carole,https://cdn.sofifa.org/players/4/19/201041.png,72,73,2.9,13,27,6'0,RC Strasbourg Alsace,France,Ligue 1,France,1
L. Cass,https://cdn.sofifa.org/players/4/19/243827.png,55,74,NA,2,18,6'1,Newcastle United,England,Premier League,UK,1
L. Castaignos,https://cdn.sofifa.org/players/4/19/198175.png,70,73,2.3,8,25,6'2,Sporting CP,Netherlands,Liga Nos,Portugal,2
L. Castro,https://cdn.sofifa.org/players/4/19/205633.png,78,78,10,36,29,6'0,Cagliari,Argentina,Serie A,Italy,2
L. Ceppitelli,https://cdn.sofifa.org/players/4/19/205553.png,72,73,2.8,21,28,6'2,Cagliari,Italy,Serie A,Italy,1
L. Chichizola,https://cdn.sofifa.org/players/4/19/191628.png,77,78,7,19,28,6'1,Getafe CF,Argentina,La Liga,Spain,1
L. Cigarini,https://cdn.sofifa.org/players/4/19/173146.png,75,75,5,29,32,5'9,Cagliari,Italy,Serie A,Italy,2
L. Ciman,https://cdn.sofifa.org/players/4/19/157678.png,75,75,3.8,13,32,6'0,Dijon FCO,Belgium,Ligue 1,France,1
L. Cook,https://cdn.sofifa.org/players/4/19/224294.png,77,84,12.5,44,21,5'9,Bournemouth,England,Premier League,UK,1
L. Crisetig,https://cdn.sofifa.org/players/4/19/197926.png,74,77,7,26,25,6'0,Frosinone,Italy,Serie A,Italy,1
L. Czyborra,https://cdn.sofifa.org/players/4/19/244840.png,60,76,NA,1,19,5'10,Heracles Almelo,Germany,Eredivisie,Netherlands,1
L. Dajaku,https://cdn.sofifa.org/players/4/19/246416.png,62,82,NA,3,17,5'11,VfB Stuttgart,Germany,Bundesliga,Germany,1
L. Damour,https://cdn.sofifa.org/players/4/19/189412.png,69,72,1.1,19,27,5'11,Cardiff City,France,Premier League,UK,1
L. de Jong,https://cdn.sofifa.org/players/4/19/189805.png,80,80,16,23,27,6'2,PSV,Netherlands,Eredivisie,Netherlands,2
L. de la Torre,https://cdn.sofifa.org/players/4/19/229379.png,64,76,NA,8,20,5'10,Fulham,United States,Premier League,UK,1
L. De Silvestri,https://cdn.sofifa.org/players/4/19/170320.png,75,75,6.5,37,30,6'1,Torino,Italy,Serie A,Italy,2
L. Deaux,https://cdn.sofifa.org/players/4/19/178051.png,75,75,5,21,29,6'2,En Avant de Guingamp,France,Ligue 1,France,2
L. Dendoncker,https://cdn.sofifa.org/players/4/19/212501.png,78,84,12,18,23,6'2,Wolverhampton Wanderers,Belgium,Premier League,UK,2
L. Depoitre,https://cdn.sofifa.org/players/4/19/212933.png,75,75,6.5,47,29,6'3,Huddersfield Town,Belgium,Premier League,UK,1
L. Diaby Fadiga,https://cdn.sofifa.org/players/4/19/244762.png,64,80,NA,4,17,6'2,OGC Nice,France,Ligue 1,France,1
L. Diarra,https://cdn.sofifa.org/players/4/19/163711.png,80,80,6,75,33,5'9,Paris Saint-Germain,France,Ligue 1,France,3
L. Dickmann,https://cdn.sofifa.org/players/4/19/229456.png,69,78,1.4,5,21,5'10,SPAL,Italy,Serie A,Italy,1
L. Digne,https://cdn.sofifa.org/players/4/19/200458.png,80,84,16,79,24,5'10,Everton,France,Premier League,UK,2
L. Duarte,https://cdn.sofifa.org/players/4/19/193442.png,67,67,NA,3,27,5'7,Heracles Almelo,Netherlands,Eredivisie,Netherlands,1
L. Dubois,https://cdn.sofifa.org/players/4/19/216643.png,77,84,10.5,44,23,5'10,Olympique Lyonnais,France,Ligue 1,France,1
L. Dunk,https://cdn.sofifa.org/players/4/19/199915.png,78,81,11,46,26,6'4,Brighton & Hove Albion,England,Premier League,UK,1
L. Fabiański,https://cdn.sofifa.org/players/4/19/164835.png,81,81,9,70,33,6'3,West Ham United,Poland,Premier League,UK,NA
L. Fariña,https://cdn.sofifa.org/players/4/19/203863.png,68,68,NA,5,27,5'10,CD Aves,Argentina,Liga Nos,Portugal,1
L. Faye,https://cdn.sofifa.org/players/4/19/236462.png,63,70,NA,2,20,5'7,Vitesse,Netherlands,Eredivisie,Netherlands,1
L. Fejsa,https://cdn.sofifa.org/players/4/19/183376.png,82,82,17,18,29,6'0,SL Benfica,Serbia,Liga Nos,Portugal,2
L. Filippini,https://cdn.sofifa.org/players/4/19/215766.png,65,70,NA,8,22,6'0,Lazio,Italy,Serie A,Italy,1
L. García,https://cdn.sofifa.org/players/4/19/235999.png,63,72,NA,2,20,6'0,Sevilla FC,Colombia,La Liga,Spain,1
L. Gassama,https://cdn.sofifa.org/players/4/19/189944.png,68,68,NA,9,28,5'11,Göztepe SK,Senegal,Süper Lig,Turkey,1
L. Geertruida,https://cdn.sofifa.org/players/4/19/241187.png,64,80,NA,1,17,6'1,Feyenoord,Netherlands,Eredivisie,Netherlands,1
L. Gör,https://cdn.sofifa.org/players/4/19/229054.png,68,71,NA,6,27,6'2,BB Erzurumspor,Turkey,Süper Lig,Turkey,1
L. Goretzka,https://cdn.sofifa.org/players/4/19/209658.png,83,88,34,85,23,6'2,FC Bayern München,Germany,Bundesliga,Germany,3
L. Görtler,https://cdn.sofifa.org/players/4/19/228645.png,65,71,NA,5,24,6'1,FC Utrecht,Germany,Eredivisie,Netherlands,1
L. Grant,https://cdn.sofifa.org/players/4/19/53739.png,74,74,1.3,39,35,6'4,Manchester United,England,Premier League,UK,1
L. Gülen,https://cdn.sofifa.org/players/4/19/208169.png,69,73,1.2,6,24,6'1,Kayserispor,Switzerland,Süper Lig,Turkey,1
L. Guwara,https://cdn.sofifa.org/players/4/19/232643.png,67,77,1.1,5,22,6'1,FC Utrecht,Germany,Eredivisie,Netherlands,1
L. Hernández,https://cdn.sofifa.org/players/4/19/220814.png,82,88,25.5,53,22,6'0,Atlético Madrid,France,La Liga,Spain,1
L. Höler,https://cdn.sofifa.org/players/4/19/234875.png,72,75,4,17,23,6'0,SC Freiburg,Germany,Bundesliga,Germany,1
L. Hrádecký,https://cdn.sofifa.org/players/4/19/190941.png,84,84,22,74,28,6'4,Bayer 04 Leverkusen,Finland,Bundesliga,Germany,2
L. Hutten,https://cdn.sofifa.org/players/4/19/200505.png,66,66,NA,3,28,5'11,Fortuna Sittard,Netherlands,Eredivisie,Netherlands,1
L. Ibáñez,https://cdn.sofifa.org/players/4/19/188194.png,69,69,NA,13,29,5'7,Trabzonspor,Argentina,Süper Lig,Turkey,1
L. Ilić,https://cdn.sofifa.org/players/4/19/243834.png,67,79,1.3,15,18,6'0,"NAC Breda",Serbia,Eredivisie,Netherlands,NA
L. Immers,https://cdn.sofifa.org/players/4/19/188157.png,72,72,2.4,8,32,6'2,ADO Den Haag,Netherlands,Eredivisie,Netherlands,1
L. Insigne,https://cdn.sofifa.org/players/4/19/198219.png,88,88,62,165,27,5'4,Napoli,Italy,Serie A,Italy,3
L. Jäger,https://cdn.sofifa.org/players/4/19/223427.png,65,70,NA,5,24,6'0,1. FC Nürnberg,Austria,Bundesliga,Germany,1
L. Jović,https://cdn.sofifa.org/players/4/19/232432.png,78,86,15.5,12,20,6'0,Eintracht Frankfurt,Serbia,Bundesliga,Germany,NA
L. Karius,https://cdn.sofifa.org/players/4/19/203775.png,79,83,11.5,71,25,6'2,Beşiktaş JK,Germany,Süper Lig,Turkey,NA
L. Kehinde,https://cdn.sofifa.org/players/4/19/245380.png,68,74,1.2,8,24,6'4,MKE Ankaragücü,Nigeria,Süper Lig,Turkey,1
L. Klostermann,https://cdn.sofifa.org/players/4/19/222331.png,75,82,8,32,22,6'2,RB Leipzig,Germany,Bundesliga,Germany,1
L. Klünter,https://cdn.sofifa.org/players/4/19/229487.png,69,78,1.4,10,22,6'0,Hertha BSC,Germany,Bundesliga,Germany,1
L. Koné,https://cdn.sofifa.org/players/4/19/184082.png,73,73,3.1,12,29,6'2,RC Strasbourg Alsace,Ivory Coast,Ligue 1,France,1
L. Koscielny,https://cdn.sofifa.org/players/4/19/165229.png,82,82,12.5,115,32,6'1,Arsenal,France,Premier League,UK,3
L. Krajnc,https://cdn.sofifa.org/players/4/19/205556.png,71,75,2.6,9,23,6'2,Frosinone,Slovenia,Serie A,Italy,1
L. Kramer,https://cdn.sofifa.org/players/4/19/241812.png,61,75,NA,1,18,6'4,FC Groningen,Netherlands,Eredivisie,Netherlands,1
L. Krejčí,https://cdn.sofifa.org/players/4/19/201215.png,75,75,7,30,25,5'11,Bologna,Czech Republic,Serie A,Italy,NA
L. Krüger,https://cdn.sofifa.org/players/4/19/245001.png,58,72,NA,3,18,6'2,RB Leipzig,Germany,Bundesliga,Germany,1
L. Kübler,https://cdn.sofifa.org/players/4/19/208335.png,70,72,1.8,12,25,6'0,SC Freiburg,Germany,Bundesliga,Germany,1
L. Kurzawa,https://cdn.sofifa.org/players/4/19/201510.png,79,82,13,68,25,6'0,Paris Saint-Germain,France,Ligue 1,France,2
L. Lamprou,https://cdn.sofifa.org/players/4/19/237039.png,68,77,1.4,3,20,6'0,Fortuna Sittard,Greece,Eredivisie,Netherlands,1
L. Landre,https://cdn.sofifa.org/players/4/19/202002.png,70,72,1.8,10,26,6'0,Nîmes Olympique,France,Ligue 1,France,1
L. Lerager,https://cdn.sofifa.org/players/4/19/217605.png,75,78,8.5,31,24,6'1,FC Girondins de Bordeaux,Denmark,Ligue 1,France,1
L. Lollo,https://cdn.sofifa.org/players/4/19/209407.png,71,71,2.4,10,27,5'11,Empoli,Italy,Serie A,Italy,1
L. López,https://cdn.sofifa.org/players/4/19/215051.png,77,77,7,13,28,6'3,Genoa,Argentina,Serie A,Italy,3
L. Mai,https://cdn.sofifa.org/players/4/19/243275.png,64,84,NA,5,18,6'3,FC Bayern München,Germany,Bundesliga,Germany,1
L. Maina,https://cdn.sofifa.org/players/4/19/242997.png,68,81,1.7,6,19,5'8,Hannover 96,Germany,Bundesliga,Germany,1
L. Marković,https://cdn.sofifa.org/players/4/19/212125.png,74,77,7,62,24,5'9,Liverpool,Serbia,Premier League,UK,NA
L. Martínez,https://cdn.sofifa.org/players/4/19/231478.png,79,86,18,54,20,5'9,Inter,Argentina,Serie A,Italy,1
L. Matarese,https://cdn.sofifa.org/players/4/19/239821.png,61,73,NA,2,20,5'9,Frosinone,Italy,Serie A,Italy,1
L. Mazzitelli,https://cdn.sofifa.org/players/4/19/221331.png,73,78,5.5,32,22,6'0,Genoa,Italy,Serie A,Italy,1
L. Mchedlidze,https://cdn.sofifa.org/players/4/19/186272.png,70,70,1.8,9,28,6'4,Empoli,Georgia,Serie A,Italy,1
L. Messi,https://cdn.sofifa.org/players/4/19/158023.png,94,94,110.5,565,31,5'7,FC Barcelona,Argentina,La Liga,Spain,5
L. Milivojević,https://cdn.sofifa.org/players/4/19/206304.png,79,81,12.5,56,27,6'1,Crystal Palace,Serbia,Premier League,UK,NA
L. Modrić,https://cdn.sofifa.org/players/4/19/177003.png,91,91,67,420,32,5'8,Real Madrid,Croatia,La Liga,Spain,NA
L. Mothiba,https://cdn.sofifa.org/players/4/19/237631.png,72,81,4.9,13,22,6'0,RC Strasbourg Alsace,South Africa,Ligue 1,France,1
L. Mousset,https://cdn.sofifa.org/players/4/19/221618.png,70,75,2.4,29,22,6'0,Bournemouth,France,Premier League,UK,1
L. Mühl,https://cdn.sofifa.org/players/4/19/233960.png,69,81,1.7,7,21,6'2,1. FC Nürnberg,Germany,Bundesliga,Germany,1
L. Muriel,https://cdn.sofifa.org/players/4/19/199110.png,80,81,17.5,24,27,5'10,Sevilla FC,Colombia,La Liga,Spain,2
L. Ndukwu,https://cdn.sofifa.org/players/4/19/235076.png,62,77,NA,5,19,5'10,Leicester City,England,Premier League,UK,1
L. Nieuwpoort,https://cdn.sofifa.org/players/4/19/243615.png,65,69,NA,2,23,6'2,De Graafschap,Netherlands,Eredivisie,Netherlands,1
L. Ntumba,https://cdn.sofifa.org/players/4/19/244746.png,57,79,NA,1,17,6'4,Dijon FCO,France,Ligue 1,France,1
L. Ocampos,https://cdn.sofifa.org/players/4/19/205632.png,77,82,12,38,23,6'2,Olympique de Marseille,Argentina,Ligue 1,France,2
L. Orejuela,https://cdn.sofifa.org/players/4/19/222535.png,67,73,NA,5,22,5'11,Ajax,Colombia,Eredivisie,Netherlands,1
L. Østigård,https://cdn.sofifa.org/players/4/19/238516.png,61,81,NA,3,18,6'0,Brighton & Hove Albion,Norway,Premier League,UK,NA
L. Owusu,https://cdn.sofifa.org/players/4/19/232311.png,65,73,NA,2,21,5'9,De Graafschap,Netherlands,Eredivisie,Netherlands,1
L. Öztunalı,https://cdn.sofifa.org/players/4/19/213134.png,74,80,7.5,20,22,6'0,1. FSV Mainz 05,Germany,Bundesliga,Germany,NA
L. Paganini,https://cdn.sofifa.org/players/4/19/224315.png,68,71,1.1,7,25,6'0,Frosinone,Italy,Serie A,Italy,1
L. Pavoletti,https://cdn.sofifa.org/players/4/19/205850.png,78,78,10.5,39,29,6'2,Cagliari,Italy,Serie A,Italy,2
L. Pellegrini,https://cdn.sofifa.org/players/4/19/228251.png,78,84,14,51,22,6'1,Roma,Italy,Serie A,Italy,2
L. Pellegrini1,https://cdn.sofifa.org/players/4/19/243237.png,65,79,1,5,19,5'10,Roma,Italy,Serie A,Italy,1
L. Pelletier,https://cdn.sofifa.org/players/4/19/245866.png,53,68,NA,1,18,6'1,RC Strasbourg Alsace,France,Ligue 1,France,1
L. Peltier,https://cdn.sofifa.org/players/4/19/169575.png,69,69,NA,19,31,5'10,Cardiff City,England,Premier League,UK,1
L. Perrin,https://cdn.sofifa.org/players/4/19/243449.png,58,73,NA,2,19,6'2,Olympique de Marseille,France,Ligue 1,France,1
L. Phiri,https://cdn.sofifa.org/players/4/19/213725.png,72,78,4.2,14,23,5'8,En Avant de Guingamp,South Africa,Ligue 1,France,1
L. Pintor,https://cdn.sofifa.org/players/4/19/240941.png,62,83,NA,5,17,5'10,Olympique Lyonnais,France,Ligue 1,France,1
L. Piszczek,https://cdn.sofifa.org/players/4/19/173771.png,81,81,7,57,33,6'0,Borussia Dortmund,Poland,Bundesliga,Germany,3
L. Plogmann,https://cdn.sofifa.org/players/4/19/240123.png,60,81,NA,1,18,6'2,SV Werder Bremen,Germany,Bundesliga,Germany,1
L. Polvani,https://cdn.sofifa.org/players/4/19/239972.png,60,65,NA,2,23,6'2,Empoli,Italy,Serie A,Italy,1
L. Puyo,https://cdn.sofifa.org/players/4/19/202548.png,68,68,NA,10,29,6'0,Angers SCO,France,Ligue 1,France,1
L. Reis,https://cdn.sofifa.org/players/4/19/240683.png,66,79,1.1,1,18,5'10,FC Groningen,Netherlands,Eredivisie,Netherlands,1
L. Rigoni,https://cdn.sofifa.org/players/4/19/138918.png,75,75,3.9,37,33,6'1,Parma,Italy,Serie A,Italy,2
L. Rosić,https://cdn.sofifa.org/players/4/19/235002.png,73,78,4.5,10,25,6'3,SC Braga,Serbia,Liga Nos,Portugal,NA
L. Rossettini,https://cdn.sofifa.org/players/4/19/185163.png,76,76,3.1,16,33,6'2,Chievo Verona,Italy,Serie A,Italy,2
L. Rupp,https://cdn.sofifa.org/players/4/19/246069.png,76,76,8,32,27,5'10,TSG 1899 Hoffenheim,Germany,Bundesliga,Germany,1
L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,86,92,61,195,22,6'0,Manchester City,Germany,Premier League,UK,2
L. Schøne,https://cdn.sofifa.org/players/4/19/172143.png,77,77,6.5,19,32,5'10,Ajax,Denmark,Eredivisie,Netherlands,2
L. Schoofs,https://cdn.sofifa.org/players/4/19/230933.png,63,71,NA,3,21,6'1,"NAC Breda",Belgium,Eredivisie,Netherlands,1
L. Schwechlen,https://cdn.sofifa.org/players/4/19/184764.png,66,66,NA,4,29,6'0,BB Erzurumspor,France,Süper Lig,Turkey,1
L. Sepe,https://cdn.sofifa.org/players/4/19/191011.png,75,78,5.5,36,27,6'1,Parma,Italy,Serie A,Italy,1
L. Shaw,https://cdn.sofifa.org/players/4/19/205988.png,80,85,16.5,96,22,5'11,Manchester United,England,Premier League,UK,2
L. Siligardi,https://cdn.sofifa.org/players/4/19/188949.png,71,71,2.2,27,30,5'11,Parma,Italy,Serie A,Italy,1
L. Šimić,https://cdn.sofifa.org/players/4/19/237594.png,67,76,1,7,21,6'5,SPAL,Croatia,Serie A,Italy,NA
L. Singh,https://cdn.sofifa.org/players/4/19/237539.png,69,81,1.9,6,20,5'7,SC Braga,South Africa,Liga Nos,Portugal,1
L. Sinisterra,https://cdn.sofifa.org/players/4/19/233500.png,66,79,1.2,2,19,5'10,Feyenoord,Colombia,Eredivisie,Netherlands,1
L. Skorupski,https://cdn.sofifa.org/players/4/19/189908.png,76,79,6.5,23,27,6'2,Bologna,Poland,Serie A,Italy,2
L. Slagveer,https://cdn.sofifa.org/players/4/19/202200.png,67,70,NA,5,24,5'10,FC Emmen,Netherlands,Eredivisie,Netherlands,1
L. Spinazzola,https://cdn.sofifa.org/players/4/19/202884.png,77,80,11,80,25,6'1,Juventus,Italy,Serie A,Italy,2
L. Stindl,https://cdn.sofifa.org/players/4/19/187072.png,81,81,18,43,29,5'11,Borussia Mönchengladbach,Germany,Bundesliga,Germany,2
L. Stulac,https://cdn.sofifa.org/players/4/19/240095.png,69,77,1.3,14,23,5'9,Parma,Slovenia,Serie A,Italy,1
L. Suárez,https://cdn.sofifa.org/players/4/19/176580.png,91,91,80,455,31,6'0,FC Barcelona,Uruguay,La Liga,Spain,5
L. Suárez1,https://cdn.sofifa.org/players/4/19/225591.png,72,80,4.6,18,22,5'6,Real Valladolid CF,Argentina,La Liga,Spain,1
L. Szukała,https://cdn.sofifa.org/players/4/19/158849.png,71,71,NA,13,34,6'5,MKE Ankaragücü,Poland,Süper Lig,Turkey,NA
L. Tempelmann,https://cdn.sofifa.org/players/4/19/241085.png,59,75,NA,2,19,5'9,SC Freiburg,Germany,Bundesliga,Germany,1
L. Teodorczyk,https://cdn.sofifa.org/players/4/19/201013.png,76,77,9,28,27,6'2,Udinese,Poland,Serie A,Italy,2
L. Thy,https://cdn.sofifa.org/players/4/19/192561.png,70,73,2.2,9,26,6'0,BB Erzurumspor,Germany,Süper Lig,Turkey,1
L. Tomlin,https://cdn.sofifa.org/players/4/19/172904.png,70,70,1.7,25,29,5'11,Cardiff City,England,Premier League,UK,1
L. Tonelli,https://cdn.sofifa.org/players/4/19/201049.png,77,79,8.5,53,28,6'0,Sampdoria,Italy,Serie A,Italy,2
L. Torreira,https://cdn.sofifa.org/players/4/19/223959.png,82,87,25,98,22,5'6,Arsenal,Uruguay,Premier League,UK,2
L. Tousart,https://cdn.sofifa.org/players/4/19/227234.png,79,84,14.5,43,21,6'1,Olympique Lyonnais,France,Ligue 1,France,2
L. Unnerstall,https://cdn.sofifa.org/players/4/19/199833.png,76,78,6,12,27,6'6,VVV-Venlo,Germany,Eredivisie,Netherlands,1
L. Valzania,https://cdn.sofifa.org/players/4/19/222355.png,69,78,1.6,11,22,6'0,Atalanta,Italy,Serie A,Italy,1
L. Vietto,https://cdn.sofifa.org/players/4/19/207441.png,76,80,10,42,24,5'8,Fulham,Argentina,Premier League,UK,1
L. Villafañez,https://cdn.sofifa.org/players/4/19/214973.png,74,74,6,14,26,5'7,Alanyaspor,Argentina,Süper Lig,Turkey,1
L. Waldschmidt,https://cdn.sofifa.org/players/4/19/220085.png,73,79,5.5,19,22,5'11,SC Freiburg,Germany,Bundesliga,Germany,1
