Name,Photo,Age,Overall,Potential,Marking,StandingTackle,SlidingTackle,HeadingAccuracy,Dribbling,Curve,BallControl,Aggression,Interceptions,Positioning,Vision,Composure,Crossing,ShortPassing,LongPassing,Acceleration,SprintSpeed,Agility,Reactions,Balance,Jumping,Stamina,Strength,Finishing,Volleys,FKAccuracy,ShotPower,LongShots,Penalties,InternationalReputation,Defending,General,Mental,Passing,Mobility,Power,Rating,Shooting
C. Conway,https://cdn.sofifa.org/players/4/19/139609.png,33,66,66,46,53,51,40,69,73,66,56,46,62,65,70,71,67,64,59,64,69,62,78,52,51,65,62,56,67,61,69,70,1,50,62,59.8,67.33333333333333,63.5,61.5,66,64.16666666666667
Jajá,https://cdn.sofifa.org/players/4/19/229721.png,23,66,70,48,56,55,44,67,72,70,42,51,54,65,69,63,68,67,69,65,67,68,70,65,72,53,47,50,69,70,61,60,1,53,63.25,56.2,66,67.25,65,68,59.5
A. Vanins,https://cdn.sofifa.org/players/4/19/173401.png,38,66,66,20,14,15,12,13,14,14,29,22,13,60,56,15,22,18,36,41,31,61,41,72,35,65,14,13,10,26,14,23,1,16.333333333333332,13.25,36,18.333333333333332,42.25,53.25,66,16.666666666666668
O. Mendoza,https://cdn.sofifa.org/players/4/19/187225.png,29,66,66,60,67,66,59,58,53,62,74,64,52,42,59,61,61,56,72,68,69,63,58,66,74,70,22,27,35,44,39,28,1,64.33333333333333,58,58.2,59.333333333333336,68,67,66,32.5
A. Faltsetas,https://cdn.sofifa.org/players/4/19/198490.png,30,66,66,65,67,71,64,53,63,66,87,67,59,65,64,64,67,59,61,54,57,70,64,84,86,75,46,55,64,67,54,54,1,67.66666666666667,61.5,68.4,63.333333333333336,60.5,77.25,66,56.666666666666664
J. Elsey,https://cdn.sofifa.org/players/4/19/216154.png,24,66,69,62,68,64,64,41,28,54,62,65,21,29,67,29,57,49,54,54,57,61,54,66,73,79,22,29,24,31,19,35,1,64.66666666666667,46.75,48.8,45,56.5,68,67.5,26.666666666666668
A. Plizzari,https://cdn.sofifa.org/players/4/19/236378.png,18,66,84,16,20,13,20,21,15,23,16,13,6,35,53,13,36,26,45,37,57,47,33,63,25,54,5,17,19,37,19,15,1,16.333333333333332,19.75,24.6,25,46.5,43.75,75,18.666666666666668
D. Martin,https://cdn.sofifa.org/players/4/19/116314.png,32,66,66,15,12,12,18,16,13,30,28,15,13,44,60,18,33,27,42,36,59,66,40,60,38,70,15,14,19,23,14,15,1,13,19.25,32,26,50.75,52,66,16.666666666666668
Gu Cao,https://cdn.sofifa.org/players/4/19/186970.png,30,66,66,68,64,63,59,57,23,58,74,66,55,43,57,52,53,52,68,73,59,64,62,68,77,74,46,23,24,38,33,23,1,65,49.25,59,52.333333333333336,66,70.25,66,31.166666666666668
L. Strizzolo,https://cdn.sofifa.org/players/4/19/235867.png,26,66,69,29,25,19,71,52,39,59,51,22,69,49,60,30,55,41,69,72,62,57,60,66,66,76,69,50,42,67,62,50,1,24.333333333333332,55.25,50.2,42,65,67,67.5,56.666666666666664
Juan Rodríguez,https://cdn.sofifa.org/players/4/19/236635.png,23,66,72,60,69,65,63,40,22,56,63,64,21,27,50,41,59,42,57,59,56,54,74,80,64,82,16,15,29,50,31,40,1,64.66666666666667,45.25,45,47.333333333333336,56.5,75,69,30.166666666666668
S. Moyano,https://cdn.sofifa.org/players/4/19/215132.png,27,66,69,23,13,15,12,21,20,25,19,27,14,20,41,19,24,24,49,44,36,56,50,59,36,67,20,16,19,20,17,22,1,17,19.5,24.2,22.333333333333332,46.25,53,67.5,19
A. Schetino,https://cdn.sofifa.org/players/4/19/233564.png,24,66,73,59,65,58,32,58,49,62,83,65,50,63,61,40,66,63,50,52,47,63,65,60,74,65,45,50,45,61,54,40,1,60.666666666666664,50.25,64.4,56.333333333333336,53,66,69.5,49.166666666666664
A. Caci,https://cdn.sofifa.org/players/4/19/236636.png,21,66,76,65,66,62,66,67,67,65,59,64,53,68,57,56,70,70,60,64,71,60,61,73,60,58,49,47,48,58,34,52,1,64.33333333333333,66.25,60.2,65.33333333333333,63.75,63,71,48
V. Janjetović,https://cdn.sofifa.org/players/4/19/209757.png,30,66,66,14,12,11,15,16,12,24,29,18,13,34,59,13,29,27,39,44,42,66,44,68,34,59,15,17,11,15,13,22,1,12.333333333333334,16.75,30.6,23,47.75,51.25,66,15.5
N. Haas,https://cdn.sofifa.org/players/4/19/225117.png,22,66,77,64,60,58,53,64,52,67,66,61,56,64,63,55,69,66,76,80,83,66,82,67,71,50,49,48,48,67,57,45,1,60.666666666666664,59,62,63.333333333333336,76.25,67.5,71.5,52.333333333333336
T. Valls,https://cdn.sofifa.org/players/4/19/225629.png,22,66,71,60,70,64,54,68,52,70,62,63,37,66,62,59,69,65,67,67,65,60,65,65,67,67,58,52,49,62,66,50,1,64.66666666666667,61,58,64.33333333333333,64.75,66,68.5,56.166666666666664
P. Herrmann,https://cdn.sofifa.org/players/4/19/238685.png,30,66,66,64,70,75,47,51,59,56,70,67,28,31,52,60,57,56,69,66,65,60,68,77,75,69,19,23,28,35,20,20,1,69.66666666666667,53.25,49.6,57.666666666666664,65,72.25,66,24.166666666666668
C. Ramsebner,https://cdn.sofifa.org/players/4/19/183645.png,29,66,66,65,64,66,68,34,38,49,65,64,28,29,63,22,43,23,35,35,59,63,39,60,65,89,34,20,29,46,36,42,1,65,47.25,49.8,29.333333333333332,48,63.25,66,34.5
L. Martinelli,https://cdn.sofifa.org/players/4/19/205406.png,29,66,66,69,68,64,60,25,23,45,65,65,17,25,65,26,40,40,49,54,57,60,61,86,60,79,19,21,23,40,25,31,1,67,38.25,47.4,35.333333333333336,55,71.5,66,26.5
Freire,https://cdn.sofifa.org/players/4/19/145758.png,28,66,66,65,65,61,66,36,37,53,68,62,22,46,55,40,53,47,37,47,34,63,52,67,65,82,35,36,34,42,34,40,1,63.666666666666664,48,50.6,46.666666666666664,45.25,66.5,66,36.833333333333336
T. Černý,https://cdn.sofifa.org/players/4/19/155998.png,33,66,66,18,11,17,17,22,17,12,44,24,16,49,46,23,35,34,53,33,63,72,49,74,39,67,12,14,11,23,13,11,1,15.333333333333334,17,35.8,30.666666666666668,55.25,57.25,66,14
N. Spalek,https://cdn.sofifa.org/players/4/19/242270.png,21,66,75,27,33,32,57,69,57,63,41,25,63,63,58,65,63,61,74,75,75,63,72,65,66,31,63,63,56,59,59,59,1,30.666666666666668,61.5,50,63,71.75,58.5,70.5,59.833333333333336
N. Madonna,https://cdn.sofifa.org/players/4/19/178014.png,31,66,66,65,65,65,59,64,69,59,56,65,50,54,65,69,59,57,70,73,72,64,62,50,70,65,47,52,61,68,69,57,1,65,62.75,58,61.666666666666664,69.75,61.75,66,59
M. Kobras,https://cdn.sofifa.org/players/4/19/183646.png,32,66,66,12,18,18,19,8,9,22,24,29,13,35,25,10,23,18,49,54,40,62,48,66,33,65,9,9,10,22,10,20,1,16,14.5,25.2,17,51.25,53,66,13.333333333333334
N. Bärkroth,https://cdn.sofifa.org/players/4/19/185438.png,26,66,67,47,26,38,30,66,66,66,65,25,60,59,59,65,63,60,86,84,84,58,86,78,65,59,53,51,64,68,59,58,1,37,57,53.6,62.666666666666664,78,72,66.5,58.833333333333336
M. Busellato,https://cdn.sofifa.org/players/4/19/205663.png,25,66,68,61,65,58,52,64,62,69,79,63,52,58,62,57,68,65,77,70,84,67,69,49,89,70,47,58,58,54,58,56,1,61.333333333333336,61.75,62.8,63.333333333333336,74.5,69.25,67,55.166666666666664
M. Stein,https://cdn.sofifa.org/players/4/19/170591.png,32,66,66,62,65,62,67,49,52,50,73,66,40,55,70,51,60,53,60,63,42,62,55,61,71,77,42,43,50,63,47,59,1,63,54.5,60.8,54.666666666666664,56.75,66,66,50.666666666666664
N. Bertrams,https://cdn.sofifa.org/players/4/19/207712.png,25,66,72,20,20,17,15,16,18,31,19,26,19,31,47,16,30,26,55,47,31,60,57,66,36,57,17,14,12,33,18,30,1,19,20,28.4,24,48.25,54,69,20.666666666666668
A. Doukha,https://cdn.sofifa.org/players/4/19/217696.png,31,66,66,18,18,13,14,15,17,23,24,20,13,13,54,15,29,25,35,41,30,63,42,60,41,67,20,9,18,23,13,25,1,16.333333333333332,17.25,24.8,23,42.25,52.5,66,18
E. Quiñones,https://cdn.sofifa.org/players/4/19/218464.png,29,66,66,58,17,21,42,63,35,63,69,18,65,59,63,60,64,56,79,78,69,64,74,47,67,85,66,43,26,74,68,61,1,32,50.75,54.8,60,72.5,68.25,66,56.333333333333336
A. Sørensen,https://cdn.sofifa.org/players/4/19/221024.png,22,66,75,70,66,64,59,49,38,64,59,68,38,53,64,47,60,56,49,57,52,67,48,51,59,73,30,35,32,46,33,36,1,66.66666666666667,52.5,56.4,54.333333333333336,56.25,57.75,70.5,35.333333333333336
Wang Zhuo,https://cdn.sofifa.org/players/4/19/241248.png,28,66,67,13,14,11,15,14,11,15,19,9,7,21,57,14,19,17,19,26,29,54,28,48,23,75,8,9,8,26,10,10,1,12.666666666666666,13.75,22.6,16.666666666666668,32,43.5,66.5,11.833333333333334
B. Easton,https://cdn.sofifa.org/players/4/19/188257.png,30,66,66,62,67,66,67,57,38,62,69,55,47,52,53,64,62,48,59,73,67,62,62,64,82,79,11,34,31,17,17,14,1,65,56,55.2,58,65.25,71.75,66,20.666666666666668
A. Boyle,https://cdn.sofifa.org/players/4/19/199010.png,27,66,68,64,69,68,63,43,36,54,61,60,37,43,60,48,61,57,63,53,59,57,64,58,74,83,30,24,24,54,36,43,1,67,49,52.2,55.333333333333336,58,69.75,67,35.166666666666664
V. Kravets,https://cdn.sofifa.org/players/4/19/237410.png,20,66,76,55,70,68,63,51,43,63,59,62,46,35,55,66,59,25,71,72,58,60,53,62,64,77,26,28,45,57,59,40,1,64.33333333333333,55,51.4,50,65.25,64,71,42.5
N. Law,https://cdn.sofifa.org/players/4/19/173666.png,30,66,66,47,45,42,50,64,63,65,56,59,64,65,67,59,61,57,73,71,74,69,73,74,92,62,56,43,63,60,48,62,1,44.666666666666664,60.5,62.2,59,71.75,75.25,66,55.333333333333336
Basilio,https://cdn.sofifa.org/players/4/19/243554.png,34,66,66,11,12,15,12,13,13,16,27,13,7,35,46,15,26,30,35,42,50,63,50,68,42,65,9,8,11,25,8,19,1,12.666666666666666,13.5,25.6,23.666666666666668,47.5,56.25,66,13.333333333333334
K. Pearce,https://cdn.sofifa.org/players/4/19/183138.png,28,66,66,64,63,62,62,48,29,53,76,62,37,32,61,26,54,43,68,66,70,60,72,70,74,84,32,38,27,28,25,33,1,63,48,53.6,41,66,75,66,30.5
M. Edwards,https://cdn.sofifa.org/players/4/19/235619.png,19,66,84,42,33,27,37,77,62,70,48,30,64,60,61,56,63,55,76,71,87,57,92,55,54,32,62,45,61,56,54,60,1,34,61.5,52.6,58,72.75,58.25,75,56.333333333333336
P. Brożek,https://cdn.sofifa.org/players/4/19/105827.png,35,66,66,18,33,22,66,61,54,63,58,30,71,67,75,58,65,49,38,47,64,67,67,72,32,82,68,64,51,67,62,71,1,24.333333333333332,61,60.2,57.333333333333336,54,63.25,66,63.833333333333336
L. Ravanelli,https://cdn.sofifa.org/players/4/19/245091.png,21,66,75,67,68,66,68,48,32,50,67,63,33,36,60,40,49,44,60,69,50,61,59,67,60,64,31,31,30,60,33,41,1,67,49.5,51.8,44.333333333333336,60,62.5,70.5,37.666666666666664
A. Taylor,https://cdn.sofifa.org/players/4/19/193123.png,27,66,67,61,66,65,71,41,56,49,65,57,23,41,56,22,51,43,58,60,65,52,59,77,71,90,40,21,20,44,27,39,1,64,54.25,48.4,38.666666666666664,58.75,74.25,66.5,31.833333333333332
M. Nalepa,https://cdn.sofifa.org/players/4/19/214884.png,25,66,71,61,65,62,65,65,43,59,69,63,45,26,63,31,55,65,47,58,38,66,39,69,69,85,34,42,50,57,56,41,1,62.666666666666664,58,53.2,50.333333333333336,52.25,65.5,68.5,46.666666666666664
Lee Myung Jae,https://cdn.sofifa.org/players/4/19/222052.png,24,66,70,52,65,65,57,68,29,67,69,63,64,57,57,73,66,57,73,66,74,68,69,60,69,55,39,21,28,49,42,32,1,60.666666666666664,55.25,62,65.33333333333333,70.25,63.25,68,35.166666666666664
Tang Xin,https://cdn.sofifa.org/players/4/19/241252.png,27,66,66,57,75,68,46,54,32,64,64,64,47,33,65,58,58,43,74,74,72,67,70,57,63,75,25,27,28,39,36,35,1,66.66666666666667,49,54.6,53,71.75,66.25,66,31.666666666666668
A. Arregui,https://cdn.sofifa.org/players/4/19/226405.png,25,66,69,59,68,65,68,62,39,64,82,67,50,56,62,45,63,63,71,69,68,55,69,82,82,69,52,58,36,61,63,53,1,64,58.25,63.4,57,65.75,75.5,67.5,53.833333333333336
H. El Sayed,https://cdn.sofifa.org/players/4/19/228197.png,26,66,67,67,71,69,52,60,31,54,59,64,59,43,50,64,64,58,73,69,68,60,81,60,69,56,61,41,32,34,58,45,1,69,49.25,55,62,67.5,66.5,66.5,45.166666666666664
D. Horst,https://cdn.sofifa.org/players/4/19/186725.png,32,66,66,61,64,61,64,30,39,49,70,62,27,45,47,38,61,37,32,45,39,61,27,66,55,90,21,13,30,23,21,35,1,62,45.5,50.2,45.333333333333336,44.25,59.5,66,23.833333333333332
Álex Barrera,https://cdn.sofifa.org/players/4/19/204134.png,27,66,67,60,63,54,55,63,40,68,58,61,68,68,54,53,69,67,39,52,32,62,55,51,52,84,66,46,56,65,61,55,1,59,56.5,61.8,63,46.25,60.5,66.5,58.166666666666664
Ricardo Vaz,https://cdn.sofifa.org/players/4/19/221286.png,23,66,71,51,28,26,43,68,66,70,38,25,61,57,58,67,61,54,79,77,79,56,80,31,54,31,62,53,45,61,64,62,1,35,61.75,47.8,60.666666666666664,72.75,49,68.5,57.833333333333336
L. Röser,https://cdn.sofifa.org/players/4/19/238694.png,24,66,72,37,24,17,58,64,59,64,53,30,65,53,59,47,66,41,72,74,71,62,69,75,74,73,69,58,34,62,68,65,1,26,61.25,52,51.333333333333336,69.75,72.75,69,59.333333333333336
C. Feraud,https://cdn.sofifa.org/players/4/19/245350.png,27,66,66,63,66,63,49,67,49,70,57,64,49,62,46,57,69,64,64,62,65,62,70,65,66,59,51,40,66,62,58,55,1,64,58.75,55.6,63.333333333333336,63.25,65,66,55.333333333333336
R. Eckardt,https://cdn.sofifa.org/players/4/19/238951.png,28,66,66,53,40,45,57,60,42,68,54,51,59,67,72,69,69,63,71,64,71,63,71,74,71,57,63,49,30,57,54,54,1,46,56.75,60.6,67,67.25,68.25,66,51.166666666666664
K. Heerings,https://cdn.sofifa.org/players/4/19/205672.png,28,66,66,64,66,64,66,44,33,49,62,61,26,41,64,28,61,66,32,46,51,59,47,83,67,80,25,30,33,42,30,40,1,64.66666666666667,48,50.8,51.666666666666664,47,69.25,66,33.333333333333336
Lorenzao Masca,https://cdn.sofifa.org/players/4/19/230504.png,34,66,66,27,41,32,57,74,67,63,56,41,67,61,54,62,64,59,72,71,62,55,79,56,66,52,70,75,64,64,60,77,1,33.333333333333336,65.25,55.8,61.666666666666664,65,63.25,66,68.33333333333333
M. Ojeda,https://cdn.sofifa.org/players/4/19/240744.png,19,66,80,19,21,28,57,67,55,66,44,42,59,54,63,64,67,64,75,79,78,61,78,45,69,49,57,41,31,53,56,46,1,22.666666666666668,61.25,52.4,65,73.25,60.25,73,47.333333333333336
M. Ndockyt,https://cdn.sofifa.org/players/4/19/242792.png,19,66,76,42,34,37,46,62,37,61,58,41,74,62,47,35,72,68,66,66,57,69,72,57,67,54,59,34,34,48,57,38,1,37.666666666666664,51.5,56.4,58.333333333333336,64.5,62.5,71,45
P. Funk,https://cdn.sofifa.org/players/4/19/193896.png,28,66,66,67,64,60,60,57,63,63,70,62,46,58,61,57,65,58,71,66,72,63,76,80,89,62,42,50,42,68,63,47,1,63.666666666666664,60.75,59.4,60,68,76.75,66,52
M. Fallatah,https://cdn.sofifa.org/players/4/19/209001.png,30,66,66,50,22,20,70,56,36,60,41,26,70,55,69,55,54,48,69,71,75,65,69,86,75,63,70,60,26,65,56,69,1,30.666666666666668,55.5,52.2,52.333333333333336,70,73.25,66,57.666666666666664
Euller,https://cdn.sofifa.org/players/4/19/218729.png,23,66,74,67,62,59,51,72,61,66,67,58,66,57,53,69,63,62,77,77,91,59,82,76,76,68,50,41,60,69,55,42,1,62.666666666666664,62.5,60.2,64.66666666666667,76,75.5,70,52.833333333333336
Liao Lisheng,https://cdn.sofifa.org/players/4/19/221801.png,25,66,73,68,66,62,58,64,62,62,66,59,67,70,65,64,70,64,68,66,71,64,68,77,71,55,61,54,60,60,58,43,1,65.33333333333333,61.5,65.4,66,67.25,67.75,69.5,56
S. Findlay,https://cdn.sofifa.org/players/4/19/227945.png,22,66,75,65,69,65,65,41,31,52,58,62,26,36,54,54,62,60,55,64,38,59,54,76,69,69,26,37,33,42,29,42,1,66.33333333333333,47.25,47.2,58.666666666666664,54,67,70.5,34.833333333333336
H. Sönmez,https://cdn.sofifa.org/players/4/19/229993.png,27,66,66,31,32,31,52,68,45,65,72,46,68,52,55,66,64,57,78,75,74,64,72,35,75,61,65,68,39,65,54,59,1,31.333333333333332,57.5,58.6,62.333333333333336,72.75,60.75,66,58.333333333333336
W. Norris,https://cdn.sofifa.org/players/4/19/223082.png,24,66,72,9,16,17,11,13,17,20,20,21,13,42,50,11,30,34,40,49,35,52,51,54,36,60,10,12,18,18,10,16,1,14,15.25,29.2,25,44,50.25,69,14
M. Spano Rahou,https://cdn.sofifa.org/players/4/19/223594.png,23,66,71,58,71,67,62,47,40,55,66,62,47,29,56,47,59,40,58,62,42,53,58,74,64,75,26,28,32,57,26,46,1,65.33333333333333,51,52,48.666666666666664,53.75,67.75,68.5,35.833333333333336
L. Zarandia,https://cdn.sofifa.org/players/4/19/223850.png,22,66,76,51,40,35,32,71,61,70,60,25,60,56,62,54,59,57,81,81,81,68,80,35,65,63,61,51,47,63,56,60,1,42,58.5,52.6,56.666666666666664,77.75,60.75,71,56.333333333333336
Fábinho,https://cdn.sofifa.org/players/4/19/188522.png,33,66,66,61,63,62,56,69,68,67,75,65,56,59,67,62,65,60,73,69,73,65,80,67,71,67,51,45,39,50,53,60,1,62,65,64.4,62.333333333333336,70,71.25,66,49.666666666666664
Zé Manuel,https://cdn.sofifa.org/players/4/19/223339.png,27,66,66,34,21,18,61,66,61,67,58,22,66,58,64,64,63,60,75,80,70,63,70,68,61,57,65,50,68,75,64,67,1,24.333333333333332,63.75,53.6,62.333333333333336,72,64,66,64.83333333333333
B. Innocent,https://cdn.sofifa.org/players/4/19/224875.png,22,66,77,61,66,65,56,63,47,64,86,65,48,51,63,41,60,66,73,72,81,52,71,73,74,83,42,38,35,58,52,47,1,64,57.5,62.6,55.666666666666664,69.5,75.25,71.5,45.333333333333336
L. Page,https://cdn.sofifa.org/players/4/19/225387.png,22,66,75,64,68,67,57,61,36,58,63,61,59,42,52,62,55,36,77,81,79,60,70,58,64,57,38,35,35,29,35,42,1,66.33333333333333,53,55.4,51,74.25,62.25,70.5,35.666666666666664
B. Van Durmen,https://cdn.sofifa.org/players/4/19/228715.png,21,66,74,62,64,61,58,61,49,65,65,63,56,61,53,52,66,64,57,66,62,64,61,58,74,68,29,51,52,63,58,51,1,62.333333333333336,58.25,59.6,60.666666666666664,62.25,65.25,70,50.666666666666664
Jano,https://cdn.sofifa.org/players/4/19/228971.png,31,66,66,60,59,60,58,57,68,63,56,73,36,65,70,62,62,64,49,63,34,78,51,59,68,72,43,35,66,66,49,61,1,59.666666666666664,61.5,60,62.666666666666664,56,62.5,66,53.333333333333336
E. Larsson,https://cdn.sofifa.org/players/4/19/197996.png,26,66,67,60,60,66,43,63,62,61,74,62,52,68,57,72,64,61,69,75,74,60,79,77,82,64,52,49,62,67,64,50,1,62,57.25,62.6,65.66666666666667,69.5,75.5,66.5,57.333333333333336
M. Ehmer,https://cdn.sofifa.org/players/4/19/200812.png,26,66,66,67,70,63,65,55,59,63,48,59,39,56,62,41,59,57,55,70,66,65,70,64,72,80,52,49,56,67,46,48,1,66.66666666666667,60.5,52.8,52.333333333333336,64,71.5,66,53
V. Solomon-Otabor,https://cdn.sofifa.org/players/4/19/224108.png,22,66,77,36,33,31,33,68,44,67,61,32,57,60,60,59,60,53,85,87,73,56,79,62,70,68,56,46,42,55,57,50,1,33.333333333333336,53,54,57.333333333333336,75.25,69.75,71.5,51
V. Janjičić,https://cdn.sofifa.org/players/4/19/237420.png,19,66,76,64,68,60,59,59,45,66,70,59,51,55,56,50,70,65,64,64,71,60,72,61,66,76,38,47,43,63,48,54,1,64,57.25,58.2,61.666666666666664,64.75,68.75,71,48.833333333333336
R. Blanco,https://cdn.sofifa.org/players/4/19/242028.png,28,66,66,40,35,28,39,68,65,66,39,22,59,68,59,63,70,66,66,65,55,47,85,56,55,44,60,55,71,59,69,63,1,34.333333333333336,59.5,49.4,66.33333333333333,58.25,60,66,62.833333333333336
N. Toko,https://cdn.sofifa.org/players/4/19/190060.png,27,66,66,55,65,68,47,66,45,69,81,62,65,60,71,51,67,64,90,91,89,61,82,92,90,70,48,62,33,64,55,44,1,62.666666666666664,56.75,67.8,60.666666666666664,82.75,83.5,66,51
J. Rafferty,https://cdn.sofifa.org/players/4/19/210029.png,24,66,71,65,68,71,53,60,63,60,62,57,59,53,56,69,59,55,75,77,64,54,65,71,71,70,27,28,55,37,40,39,1,68,59,57.4,61,67.5,69.25,68.5,37.666666666666664
Higinio,https://cdn.sofifa.org/players/4/19/211565.png,24,66,71,37,33,31,68,64,46,66,36,26,64,48,49,49,65,41,61,67,63,67,57,67,55,65,62,62,40,64,70,62,1,33.666666666666664,61,44.6,51.666666666666664,64.5,61,68.5,60
Danilo Sacrio,https://cdn.sofifa.org/players/4/19/230509.png,26,66,66,18,28,26,60,67,43,64,56,25,57,41,62,43,52,38,85,87,86,61,78,75,50,64,66,68,46,70,58,58,1,24,58.5,48.2,44.333333333333336,79.75,66.75,66,61
T. Szántó,https://cdn.sofifa.org/players/4/19/234093.png,22,66,76,59,61,62,55,67,53,68,58,64,59,64,60,59,64,62,68,71,72,62,71,71,79,68,65,51,62,61,64,50,1,60.666666666666664,60.75,61,61.666666666666664,68.25,72.25,71,58.833333333333336
N. Ravaglia,https://cdn.sofifa.org/players/4/19/173165.png,29,66,67,16,9,10,11,16,11,21,19,14,6,48,49,14,35,42,29,31,39,64,28,33,18,52,10,12,16,42,11,32,1,11.666666666666666,14.75,27.2,30.333333333333332,40.75,32.75,66.5,20.5
H. Alpsoy,https://cdn.sofifa.org/players/4/19/229742.png,21,66,77,66,63,56,59,52,36,63,71,65,51,60,55,45,72,66,70,71,63,54,59,55,68,72,31,41,40,72,70,46,1,61.666666666666664,52.5,60.4,61,64.5,63.5,71.5,50
M. Migliorini,https://cdn.sofifa.org/players/4/19/210543.png,26,66,68,66,68,65,69,31,34,46,67,64,25,39,65,18,37,35,51,32,34,56,35,72,55,87,26,25,31,36,19,50,1,66.33333333333333,45,52,30,43.25,62.25,67,31.166666666666668
Emílio Trevões,https://cdn.sofifa.org/players/4/19/230511.png,30,66,66,18,17,22,56,77,41,64,41,23,61,44,55,51,61,52,88,91,78,56,81,47,51,57,65,67,43,62,59,77,1,19,59.5,44.8,54.666666666666664,78.25,59,66,62.166666666666664
L. Bergsma,https://cdn.sofifa.org/players/4/19/236399.png,21,66,75,69,65,60,66,48,33,64,60,61,36,58,64,34,65,66,64,67,63,64,63,78,66,70,23,34,29,50,25,56,1,64.66666666666667,52.75,55.8,55,64.5,69.25,70.5,36.166666666666664
A. Marciniak,https://cdn.sofifa.org/players/4/19/179055.png,29,66,66,63,64,65,60,62,58,65,73,72,40,46,55,51,61,57,71,73,64,64,63,67,73,75,48,22,61,75,60,47,1,64,61.25,57.2,56.333333333333336,68,69.5,66,52.166666666666664
S. Kotysch,https://cdn.sofifa.org/players/4/19/183407.png,29,66,66,69,65,63,71,45,48,50,67,69,28,53,66,55,62,61,40,39,42,57,54,47,50,75,29,40,52,57,38,42,1,65.66666666666667,53.5,56.6,59.333333333333336,44.5,56.5,66,43
N. Peñailillo,https://cdn.sofifa.org/players/4/19/202864.png,26,66,67,58,67,57,62,64,64,65,71,60,64,59,51,67,71,62,81,72,57,62,57,80,72,78,61,49,74,75,72,70,1,60.666666666666664,63.75,61,66.66666666666667,68,71.75,66.5,66.83333333333333
Fu Huan,https://cdn.sofifa.org/players/4/19/224624.png,24,66,71,60,66,63,42,63,46,58,72,65,61,58,61,68,64,64,76,75,66,63,68,70,70,58,31,23,37,38,23,42,1,63,52.25,63.4,65.33333333333333,70,66.5,68.5,32.333333333333336
B. Emir,https://cdn.sofifa.org/players/4/19/226928.png,30,66,66,69,70,72,52,64,51,62,60,66,57,48,46,58,62,54,74,70,63,56,70,64,64,60,32,29,46,65,58,49,1,70.33333333333333,57.25,55.4,58,65.75,64.5,66,46.5
Flávio Triginho,https://cdn.sofifa.org/players/4/19/230512.png,34,66,66,10,36,33,56,74,44,72,52,35,72,42,53,42,44,32,78,77,81,67,82,62,67,42,67,71,42,52,63,55,1,26.333333333333332,61.5,50.8,39.333333333333336,75.75,63.25,66,58.333333333333336
D. Haas,https://cdn.sofifa.org/players/4/19/101488.png,34,66,66,11,14,15,14,15,11,19,40,16,9,17,57,14,23,22,33,35,33,66,34,76,42,74,11,10,12,24,9,22,1,13.333333333333334,14.75,27.8,19.666666666666668,41.75,56.5,66,14.666666666666666
Magno Novaes,https://cdn.sofifa.org/players/4/19/188272.png,35,66,66,10,12,13,10,13,16,23,40,24,14,30,54,11,23,24,40,37,50,62,35,58,34,63,12,19,20,40,17,23,1,11.666666666666666,15.5,32.4,19.333333333333332,47.25,47.5,66,21.833333333333332
S. Ferguson,https://cdn.sofifa.org/players/4/19/192624.png,26,66,66,62,66,65,60,66,67,67,60,59,58,60,54,72,62,59,75,76,75,59,77,68,69,64,57,57,58,59,48,55,1,64.33333333333333,65,58.2,64.33333333333333,71.25,69.5,66,55.666666666666664
S. Sinovic,https://cdn.sofifa.org/players/4/19/198257.png,31,66,66,73,68,66,55,62,65,64,65,67,41,54,59,58,67,60,60,63,62,65,67,38,69,64,38,38,55,56,32,37,1,69,61.5,57.2,61.666666666666664,62.5,59.5,66,42.666666666666664
B. Enobakhare,https://cdn.sofifa.org/players/4/19/229745.png,20,66,80,17,31,25,48,76,48,73,49,26,57,60,57,54,67,57,83,79,85,56,79,56,58,65,51,52,38,60,50,56,1,24.333333333333332,61.25,49.8,59.333333333333336,75.75,64.5,73,51.166666666666664
T. McMahon,https://cdn.sofifa.org/players/4/19/164465.png,32,66,66,69,65,70,61,61,45,57,64,65,49,58,74,64,58,57,64,68,66,58,76,81,75,70,40,43,64,55,49,59,1,68,56,62,59.666666666666664,64,75.5,66,51.666666666666664
E. Ba,https://cdn.sofifa.org/players/4/19/212338.png,25,66,69,62,71,63,57,65,47,64,68,58,67,67,64,42,67,61,65,68,66,62,63,65,71,75,49,39,34,61,47,56,1,65.33333333333333,58.25,64.8,56.666666666666664,65.25,68.5,67.5,47.666666666666664
C. Ayala,https://cdn.sofifa.org/players/4/19/214386.png,32,66,66,64,62,56,57,64,57,70,53,54,54,62,66,47,70,68,58,60,67,66,63,71,79,73,45,45,45,51,62,50,1,60.666666666666664,62,57.8,61.666666666666664,62.75,71.5,66,49.666666666666664
Manuel Sánchez,https://cdn.sofifa.org/players/4/19/202611.png,30,66,66,64,67,62,59,47,48,54,78,71,40,51,54,39,62,58,54,56,56,62,56,62,81,74,38,29,49,62,36,48,1,64.33333333333333,52,58.8,53,57,68.25,66,43.666666666666664
